horizon,trading_days,valid_count,avg_return,median_return,win_rate,loss_rate,std_return,best_return,worst_return
D+23,23,5219,0.054175798186701075,-0.002263723825693287,0.4924315002874114,0.5041195631347002,0.2780884869709539,2.019230769230769,-0.5589563472152534
D+24,24,5213,0.05436705690287441,-0.003759398496240629,0.4912718204488778,0.5058507577210819,0.28653329216217294,2.0784313725490198,-0.5792522380200105
D+25,25,5206,0.05539282748847644,-0.004766590345714972,0.48905109489051096,0.5080676142912025,0.2952058757783351,2.4305882352941177,-0.5650869826034792
D+26,26,5198,0.05715292519019266,-0.0053015823941088835,0.4880723355136591,0.5098114659484417,0.3053372827704613,2.6,-0.5946902654867257
D+27,27,5192,0.057845250794785884,-0.006961493733040447,0.48382126348228044,0.5130970724191063,0.3153149506564525,2.7362637362637363,-0.6247787610619469
D+28,28,5187,0.05829947213819919,-0.009433962264150941,0.48043184885290147,0.5164835164835165,0.32404142126130553,2.883248730964467,-0.6430241621200312
D+29,29,5181,0.058267877806293715,-0.011111111111111072,0.47616290291449526,0.5215209419031075,0.3317269746533871,3.0369393139841687,-0.6695245518316446
D+30,30,5175,0.05810938255622278,-0.01388888888888884,0.4718840579710145,0.5256038647342995,0.3391894107648502,2.9947780678851177,-0.6602564102564102
D+31,31,5166,0.05749619137062963,-0.015180320313400164,0.4692218350754936,0.5292295780100658,0.34500086249789735,3.1295546558704457,-0.6569579288025891
D+32,32,5161,0.0569770808078835,-0.01603206412825653,0.4652199186204224,0.5322611896919202,0.35187946666661046,3.232365145228216,-0.6492969396195203
D+33,33,5153,0.0564356627659919,-0.018151815181518205,0.4638074907820687,0.5344459538133126,0.35565523483269923,3.026315789473684,-0.6166766646670666
D+34,34,5143,0.05599045915548344,-0.019316493313521588,0.4629593622399378,0.5345129301963835,0.3592125667402298,3.3509933774834435,-0.6044776119402986
D+35,35,5132,0.05613186958377031,-0.01782237439155182,0.460639127045986,0.5354637568199533,0.36941561364512604,3.6542669584245075,-0.6110091743119266
D+36,36,5112,0.056921929132851906,-0.017795322978162442,0.4616588419405321,0.536189358372457,0.37839390054004446,3.700460829493087,-0.6270888302550572
D+37,37,5096,0.056620546071947074,-0.018583124897224412,0.46212715855573,0.5351255886970173,0.38326936723620103,3.6644736842105265,-0.6174794173527549
D+38,38,5081,0.05628210781291584,-0.01794258373205737,0.4648691202519189,0.533556386538083,0.38785008079837313,3.3973509933774837,-0.6376724655068986
